Age . Location,Bio,Agree,Disagree,Find Out,Ques_Ans,Label
20 • Mumbai,"I doubt you are gonna read this but still...

Tea over coffee ☕
Book over movie📚
Sleep over social media 😴
Dark chocolate 😋

Notable life achievements
1) My cat loves me.
2) Professional bathroom singer
3) Been to Jail (Monopoly Jail is counted right?)
4.) No skeletons in the closet (Wait...I guess there are some🤔)

Likes: Chess, Badminton, Table Tennis, Cycling, Cheese

Dislikes: Guys with clichéd pickup lines and Guyz with no profile pic or a single pic among many other things.

Leaving the rest for the history books...

For those guyz who'll text:

Hi/Hey/Hello:- Hello to you as well.

How are you/How's it going?:- I'm doing well and It's going great, thanks for asking. (though you shouldn't have asked)

What I'm looking for?:- I'm looking for men, wasn't that the second question this app asked?😂

So can we can skip to the good part.

Cheers 🍻",29,11,1,41,Ok
22 • Chandrapur,would love to talk to some Bollywood sort of romantic guy,8,7,0,15,Ok
21 • Kolkata,"ig @_.jhinuk

#5'7""
#ambivert
#night_owl
#music_lover
#mathematics_lover
#quarantine_sketcher
#football_over_cricket

Here to have a good conversation and make friends....",40,25,24,89,Ok
22 • Thāne,"Not so good at that
My ig - Shrutiidash",17,7,0,24,Ok
26 • Pallipuram,Ping me on Instagram at srishtikpr9,4,11,0,15,Low Info
26 • Aurangābād,"Outside introvert inside extrovert.. crazy me..
Life is not a piece of cake but I can't resist sugary goodies..
Ambitious adventures chill relaxed kind of person..
And a good listener 😉..",31,24,1,56,Ok
22 • New Delhi,"ping me on insta💋
insta: @xvanshiix

.

Dominating🔥",4,10,0,14,Low Info
21 • Pune,Interested only good frdship.,38,37,264,339,Ok
24 • Hyderābād,"Intrested in - Fun and Naughty Stuff Virtually
First of all clear words-"" NO REAL MEETUP""- Thankyou
ME from Bombay.
But living in Hyderabad
A girl with High ambitious. working as an SDE in Delloite Technology.loves Fashion and styles. Adapt new form of changes in life . always a friendly person. life is short so just chill 🤠
So no ""Hii"" ""Hello"". Be creative 😅. use this~~🧠",6,9,0,15,Ok
27 • Hyderābād,"working as s/w engineer.
simple living and high thinking",8,7,0,15,Ok
25 • Hyderābād,Message me I can't see your like,3,8,8,19,Ok
19 • Hyderābād,"Heyy I’m just having fun on here. From Iraq but raised in UK. Back and forth between Manchester and Hyderabad for school, not looking for anything serious.

If you saw me on here before, hushhh 🤭

I like dominant guys, no age preference. Be straightforward, I dont care for shy messages 😭😭",9,5,20,34,Ok
24 • Mumbai,Nothing,9,6,0,15,Fake
22 • Hyderābād,reply wats app 9509699930,7,8,0,15,Fake
23 • Chennai,"🥱

Can't see likes, send a text 💌",19,22,4,45,Ok
25 • Mumbai,"New in Town.
Bong
Curvilicious 🍑🤭
Taylor Swift and BTS addict!
Humor is a major turn on after Veins!😋

PS-Drop more than just a hi/hey!",7,8,0,15,Ok
27 • Hyderābād,Yep,5,10,0,15,Low Info
27 • Thāne,"Basically from mumbai, I love to cook nd reading books, am into in modelling,
Swimming ,travelling lisn music and singing is Are my hobbies … fitness lover too, hardworking passionate, loving caring ( artistic )
am here for looking genuine and good person, loyal nd honest (simple) friendz nothing more
snpcht - Kunnuworlds
Inst- Kunnuworlds",21,22,3,46,Ok
21 • Guntūr,Hello,2,13,0,15,Low Info
28 • Mumbai,"Total sucker for long drives, long talks, long breaks for coffee
long hugs (cuddles ) , well let’s not brag anything long now ::::p
Wine lover ( just in case you ask what’s your drink lol )
totally sweet and bitchhhhh depends on how you treat

Ps- please don’t start with boring hiiiii",41,44,135,220,Ok
24 • Pune,"5’2” , not exaggerating :p
A glad combo of Sensitive and Savage!
Well, Taylor has my heart but Bollywood songs make me groove like nothing else!",10,6,0,16,Ok
23 • Hyderābād,.,15,5,1,21,Low Info
24 • Thāne,"I Absolutely love and adore dogs/animals , travelling is like a need for me, dancing is fun , drinking is a want and food is life!
I’m a girl who is turning my dreams into reality one step at a time⚡️
I’m a Fashion Photographer and an Entrepreneur, I have started a creative digital agency called Pixpective.

Insta : @ishaaanatu

I think taking a walk on the beach in beautiful weather is what I’m really craving for.
Love can be found anywhere in the world♥️",45,24,66,135,Ok
22 • Mumbai,"Hi I am Anjali, here to make new friends. Currently studying interior designing at ITM institute of designing. favourite timepass reading books, binge watching tv shows also cooking but only when I am in a mood to✌️. I have a dog named Thor. Have a Ying Yang tattoo on my wrist.
Studies suggest you have a 100% higher chance of getting a match with me if you write a nice intro.
I made a new Instagram account if you guys wanna connect over there it's lostgirl0811",8,10,2,20,Ok
26 • Gurgaon,I will let you know later,4,11,0,15,Fake
26 • Hyderābād,natural and happy person for myself,8,4,3,15,Ok
25 • Hyderābād,!!,15,7,3,25,Low Info
25 • Hyderābād,Looking for a long (forever)relationship. Not here for benefits/short relationship or hookups.,7,8,0,15,Ok
25 • Nāgpur,"""Some soul just understand each other upon meeting""",53,64,43,160,Ok
20 • Hyderābād,I just need loyal frnds,7,8,0,15,Ok
22 • Yerandwane,.,8,7,0,15,Low Info
24 • Ghansoli,"Hello ,, I'm new to this Application
Looking for Someone, who make me feel like his Queen as I will treat him as my King , , And who can understand me ,
I'm from Karnataka ,Also I'm new to Mumbai
And Lastly I wanted to uninstall this application together 🤗",15,27,4,46,Ok
